,story_index,story,question,answer,short_answer,belief,question_type,qa_prompt,comp_prompt,mc_prompt,fb_prompt,tf_prompt,tfr_prompt
0,1,Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.,Where is the towel?,The towel is in the cabinet.,cabinet.,FALSE,reality,"Answer the question based on context:

Context:Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.
Question:
Where is the towel currently?","Complete the following paragraph:

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. Currently the towel is in","Choose the correct answer from A or B for the following question:
Question:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. Where is the towel currently?

A. cabinet
B. closet

Answer:","Fill in the blank (< >):

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. Currently the towel is in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. Where is the towel currently?
Statements:
A. Currently the towel is in the cabinet.
B. Currently the towel is in the closet.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. Where is the towel currently?
Statements:
A. Currently the towel is in the cabinet.
B. Currently the towel is in the closet.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
1,1,Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.,Where was the towel?,The towel was in the closet.,closet.,FALSE,memory,"Answer the question based on context:

Context:Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.
Question:
Where was the towel previously?","Complete the following paragraph:

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. Previously the towel was in","Choose the correct answer from A or B for the following question:
Question:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. Where was the towel previously

A. cabinet
B. closet

Answer:","Fill in the blank (< >):

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. Previously the towel was in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. Where was the towel previously?
Statements:
A. Previously the towel was in the cabinet.
B. Previously the towel was in the closet.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. Where was the towel previously?
Statements:
A. Previously the towel was in the cabinet.
B. Previously the towel was in the closet.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
2,1,Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.,"After Juanita came back to the attic, where would Juanita look for the towel?",Juanita would look for the towel in the closet.,closet.,FALSE,1stB,"Answer the question based on context:

Context:Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.
Question:
After Juanita came back to the attic, where would Juanita look for the towel?","Complete the following paragraph:

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, Juanita would look for the towel in","Choose the correct answer from A or B for the following question:
Question:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Juanita look for the towel?

A. cabinet
B. closet

Answer:","Fill in the blank (< >):

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, Juanita would look for the towel in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Juanita look for the towel?
Statements:
A. Juanita would look for the towel in the cabinet.
B. Juanita would look for the towel in the closet.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Juanita look for the towel?
Statements:
A. Juanita would look for the towel in the cabinet.
B. Juanita would look for the towel in the closet.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
3,1,Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.,"After Juanita came back to the attic, where would Neila look for the towel?",Neila would look for the towel in the cabinet.,cabinet.,FALSE,1stA,"Answer the question based on context:

Context:Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.
Question:
After Juanita came back to the attic, where would Neila look for the towel?","Complete the following paragraph:

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, Neila would look for the towel in","Choose the correct answer from A or B for the following question:
Question:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Neila look for the towel?

A. cabinet
B. closet

Answer:","Fill in the blank (< >):

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, Neila would look for the towel in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Neila look for the towel?
Statements:
A. Neila would look for the towel in the cabinet.
B. Neila would look for the towel in the closet.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Neila look for the towel?
Statements:
A. Neila would look for the towel in the cabinet.
B. Neila would look for the towel in the closet.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
4,1,Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.,"After Juanita came back to the attic, where would Neila think Juanita would look for the towel?",Neila would think Juanita would look for the towel in the closet.,closet.,FALSE,2ndA,"Answer the question based on context:

Context:Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.
Question:
After Juanita came back to the attic, where would Neila think Juanita would look for the towel?","Complete the following paragraph:

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, Neila would think Juanita would look for the towel in","Choose the correct answer from A or B for the following question:
Question:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Neila think Juanita would look for the towel?

A. cabinet
B. closet

Answer:","Fill in the blank (< >):

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, Neila would think Juanita would look for the towel in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Neila think Juanita would look for the towel?
Statements:
A. Neila would think Juanita would look for the towel in the cabinet.
B. Neila would think Juanita would look for the towel in the closet.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Neila think Juanita would look for the towel?
Statements:
A. Neila would think Juanita would look for the towel in the cabinet.
B. Neila would think Juanita would look for the towel in the closet.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
5,1,Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.,"After Juanita came back to the attic, where would Juanita think Neila would look for the towel?",Juanita would think Neila would look for the towel in the closet.,closet.,FALSE,2ndB,"Answer the question based on context:

Context:Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet.
Question:
After Juanita came back to the attic, where would Juanita think Neila would look for the towel?","Complete the following paragraph:

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, Juanita would think Neila would look for the towel in","Choose the correct answer from A or B for the following question:
Question:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Juanita think Neila would look for the towel?

A. cabinet
B. closet

Answer:","Fill in the blank (< >):

Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, Juanita would think Neila would look for the towel in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Juanita think Neila would look for the towel?
Statements:
A. Juanita would think Neila would look for the towel in the cabinet.
B. Juanita would think Neila would look for the towel in the closet.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Neila and Juanita were hanging out in the attic. They saw a closet and a cabinet. They found a towel in the closet. Juanita left the attic. Neila moved the towel to the cabinet. After Juanita came back to the attic, where would Juanita think Neila would look for the towel?
Statements:
A. Juanita would think Neila would look for the towel in the cabinet.
B. Juanita would think Neila would look for the towel in the closet.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
6,2,Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket.,Where is the mitten?,The mitten is in the bucket.,bucket.,FALSE,reality,"Answer the question based on context:

Context:Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket.
Question:
Where is the mitten currently?","Complete the following paragraph:

Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. Currently the mitten is in","Choose the correct answer from A or B for the following question:
Question:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. Where is the mitten currently?

A. bucket
B. briefcase

Answer:","Fill in the blank (< >):

Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. Currently the mitten is in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. Where is the mitten currently?
Statements:
A. Currently the mitten is in the bucket.
B. Currently the mitten is in the briefcase.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. Where is the mitten currently?
Statements:
A. Currently the mitten is in the bucket.
B. Currently the mitten is in the briefcase.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
7,2,Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket.,Where was the mitten?,The mitten was in the briefcase.,briefcase.,FALSE,memory,"Answer the question based on context:

Context:Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket.
Question:
Where was the mitten previously?","Complete the following paragraph:

Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. Previously the mitten was in","Choose the correct answer from A or B for the following question:
Question:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. Where was the mitten previously

A. bucket
B. briefcase

Answer:","Fill in the blank (< >):

Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. Previously the mitten was in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. Where was the mitten previously?
Statements:
A. Previously the mitten was in the bucket.
B. Previously the mitten was in the briefcase.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. Where was the mitten previously?
Statements:
A. Previously the mitten was in the bucket.
B. Previously the mitten was in the briefcase.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
8,2,Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket.,"After Hillary came back to the bedroom, where would Hillary look for the mitten?",Hillary would look for the mitten in the briefcase.,briefcase.,FALSE,1stB,"Answer the question based on context:

Context:Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket.
Question:
After Hillary came back to the bedroom, where would Hillary look for the mitten?","Complete the following paragraph:

Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. After Hillary came back to the bedroom, Hillary would look for the mitten in","Choose the correct answer from A or B for the following question:
Question:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. After Hillary came back to the bedroom, where would Hillary look for the mitten?

A. bucket
B. briefcase

Answer:","Fill in the blank (< >):

Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. After Hillary came back to the bedroom, Hillary would look for the mitten in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. After Hillary came back to the bedroom, where would Hillary look for the mitten?
Statements:
A. Hillary would look for the mitten in the bucket.
B. Hillary would look for the mitten in the briefcase.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. After Hillary came back to the bedroom, where would Hillary look for the mitten?
Statements:
A. Hillary would look for the mitten in the bucket.
B. Hillary would look for the mitten in the briefcase.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
9,2,Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket.,"After Hillary came back to the bedroom, where would Sabra look for the mitten?",Sabra would look for the mitten in the bucket.,bucket.,FALSE,1stA,"Answer the question based on context:

Context:Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket.
Question:
After Hillary came back to the bedroom, where would Sabra look for the mitten?","Complete the following paragraph:

Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. After Hillary came back to the bedroom, Sabra would look for the mitten in","Choose the correct answer from A or B for the following question:
Question:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. After Hillary came back to the bedroom, where would Sabra look for the mitten?

A. bucket
B. briefcase

Answer:","Fill in the blank (< >):

Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. After Hillary came back to the bedroom, Sabra would look for the mitten in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. After Hillary came back to the bedroom, where would Sabra look for the mitten?
Statements:
A. Sabra would look for the mitten in the bucket.
B. Sabra would look for the mitten in the briefcase.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Sabra and Hillary were hanging out in the bedroom. They saw a briefcase and a bucket. They found a mitten in the briefcase. Hillary left the bedroom. Sabra moved the mitten to the bucket. After Hillary came back to the bedroom, where would Sabra look for the mitten?
Statements:
A. Sabra would look for the mitten in the bucket.
B. Sabra would look for the mitten in the briefcase.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
